103.13.101.239:2302 | 6:17:12 PM | Player #2 [M.O.D] wates  - GUID: 4965b7eaedb9b9d0cd70f54b0b43654e (unverified)
103.13.101.239:2302 | 6:17:13 PM | Verified GUID (4965b7eaedb9b9d0cd70f54b0b43654e) of player #2 [M.O.D] wates 
103.13.101.239:2302 | 6:24:03 PM | (Group) sgt_cambo: BRB
103.13.101.239:2302 | 6:26:45 PM | Player #2 [M.O.D] wates  (4965b7eaedb9b9d0cd70f54b0b43654e) has been kicked by BattlEye: Ping too high (360)
103.13.101.239:2302 | 6:27:23 PM | Player #2 [M.O.D] wates  (84.98.209.46:2304) connected
103.13.101.239:2302 | 6:27:25 PM | Player #2 [M.O.D] wates  - GUID: 4965b7eaedb9b9d0cd70f54b0b43654e (unverified)
103.13.101.239:2302 | 6:27:26 PM | Verified GUID (4965b7eaedb9b9d0cd70f54b0b43654e) of player #2 [M.O.D] wates 
103.13.101.239:2302 | 6:31:09 PM | Player #2 [M.O.D] wates  (4965b7eaedb9b9d0cd70f54b0b43654e) has been kicked by BattlEye: Ping too high (359)
103.13.101.239:2302 | 6:32:39 PM | Player #2 [M.O.D] wates  (84.98.209.46:2304) connected
103.13.101.239:2302 | 6:32:41 PM | Player #2 [M.O.D] wates  - GUID: 4965b7eaedb9b9d0cd70f54b0b43654e (unverified)
103.13.101.239:2302 | 6:32:41 PM | Verified GUID (4965b7eaedb9b9d0cd70f54b0b43654e) of player #2 [M.O.D] wates 
103.13.101.239:2302 | 6:34:30 PM | Player #2 [M.O.D] wates  disconnected
103.13.101.239:2302 | 7:00:54 PM | Player #0 DADINATOR disconnected
103.13.101.239:2302 | 7:28:53 PM | Player #0 Jake (60.229.146.23:53234) connected
103.13.101.239:2302 | 7:28:55 PM | Player #0 Jake - GUID: 251a00c174ede95149c5f76a2e2e0d8c (unverified)
103.13.101.239:2302 | 7:28:55 PM | Verified GUID (251a00c174ede95149c5f76a2e2e0d8c) of player #0 Jake
103.13.101.239:2302 | 7:29:02 PM | Player #0 Jake disconnected
103.13.101.239:2302 | 8:33:51 PM | Player #0 Kazuto (60.242.31.138:2304) connected
103.13.101.239:2302 | 8:33:52 PM | Player #0 Kazuto - GUID: 435ea9d6c0fae2b23ce3da57656a4319 (unverified)
103.13.101.239:2302 | 8:33:53 PM | Verified GUID (435ea9d6c0fae2b23ce3da57656a4319) of player #0 Kazuto
103.13.101.239:2302 | 8:34:40 PM | Player #2 Kaustic Acoustics (101.165.235.14:2304) connected
103.13.101.239:2302 | 8:34:42 PM | Player #2 Kaustic Acoustics - GUID: 45d322fe2f90d2f731740cddad1b9dde (unverified)
103.13.101.239:2302 | 8:34:43 PM | Verified GUID (45d322fe2f90d2f731740cddad1b9dde) of player #2 Kaustic Acoustics
103.13.101.239:2302 | 8:38:17 PM | (Side) sgt_cambo: ima outa here theres a tank marked if need
103.13.101.239:2302 | 8:38:29 PM | (Side) Kazuto: are you an admin?
103.13.101.239:2302 | 8:38:35 PM | (Side) sgt_cambo: na
103.13.101.239:2302 | 8:38:44 PM | (Side) Kazuto: I got trapped by restart -.-
103.13.101.239:2302 | 8:38:54 PM | (Side) Kazuto: my heli is gone :(
103.13.101.239:2302 | 8:38:59 PM | (Side) Kaustic Acoustics: Wana help get the heli and help him?
103.13.101.239:2302 | 8:39:03 PM | (Side) sgt_cambo: that sucks
103.13.101.239:2302 | 8:39:06 PM | (Side) Kaustic Acoustics: It'll be fun
103.13.101.239:2302 | 8:41:40 PM | (Side) sgt_cambo: just remembered were the chopper is 
103.13.101.239:2302 | 8:41:47 PM | (Side) sgt_cambo: on map
103.13.101.239:2302 | 8:41:56 PM | (Side) Kazuto: starting my 700m swim to land now xD
103.13.101.239:2302 | 8:42:04 PM | (Side) sgt_cambo: lol
103.13.101.239:2302 | 8:42:13 PM | (Side) Kazuto: no diver gear xD
103.13.101.239:2302 | 8:42:13 PM | (Side) sgt_cambo: well seeyas
103.13.101.239:2302 | 8:42:23 PM | (Side) Kazuto: gilli suit zefir lmg
